,preqin,score,unpri match,Firm Name,preqin_clean
2255,argyle street management,0.7727272727272727,,Argyle Street Management,argyle street management
2256,new providence asset management,0.7777777777777778,,New Providence Asset Management,new providence asset management
2257,new providence asset management,0.7777777777777778,,New Providence Asset Management,new providence asset management
2258,the rohatyn group,1.0,the rohatyn group,The Rohatyn Group,the rohatyn group
2259,galaxy asset management,0.8636363636363636,,Galaxy Asset Management,galaxy asset management
2260,galaxy asset management,0.8636363636363636,,Galaxy Asset Management,galaxy asset management
2261,galaxy asset management,0.8636363636363636,,Galaxy Asset Management,galaxy asset management
2262,university of aberdeen endowment fund,0.6363636363636364,,University of Aberdeen Endowment Fund,university of aberdeen endowment fund
2263,espiga capital,1.0,espiga capital,Espiga Capital,espiga capital
2264,registrar of voters employees' retirement system,0.7640449438202247,,Registrar of Voters Employees' Retirement System,registrar of voters employees' retirement system
2265,allard partners,1.0,allard partners,Allard Partners,allard partners
2266,formula growth,0.7777777777777778,,Formula Growth,formula growth
2267,equinox,0.7142857142857143,,Equinox,equinox
2268,grafton asset management,0.8695652173913043,,Grafton Asset Management,grafton asset management
2269,eurazeo pme,0.7777777777777778,,Eurazeo PME,eurazeo pme
2270,tobam,1.0,tobam,TOBAM,tobam
2271,office of hawaiian affairs,0.46153846153846156,,Office of Hawaiian Affairs,office of hawaiian affairs
2272,office of hawaiian affairs,0.46153846153846156,,Office of Hawaiian Affairs,office of hawaiian affairs
2273,omni partners llp,1.0,omni partners llp,Omni Partners LLP,omni partners llp
2274,hc asset management,0.9473684210526315,hi asset management,HC Asset Management,hc asset management
2275,j o hambro capital management,0.90625,,J O Hambro Capital Management,j o hambro capital management
2276,cogefi,0.7272727272727273,,Cogefi,cogefi
2277,ajo,1.0,ajo,AJO,ajo
2278,martingale asset management,0.8461538461538461,,Martingale Asset Management,martingale asset management
2279,skagen funds,0.7619047619047619,,Skagen Funds,skagen funds
2280,instaragf asset management,0.8571428571428571,,InstarAGF Asset Management,instaragf asset management
2281,castle alternative invest,0.7407407407407407,,Castle Alternative Invest,castle alternative invest
2282,coupland cardiff asset management,0.7777777777777778,,Coupland Cardiff Asset Management,coupland cardiff asset management
2283,b&ce benefit scheme,0.6666666666666666,,B&CE Benefit Scheme,b&ce benefit scheme
